1	167280	217280
1	257582	307582
1	461231	511231
1	2624080	2674080
1	3835128	3895128
1	5335220	5385220
1	12975585	13025585
1	13142499	13192499
1	13429749	13479749
1	16998245	17048245
1	29750669	29800669
1	103636494	103686494
1	103843838	103893838
1	120498679	120548679
1	120738218	120788218
1	121186957	121236957
1	121236957	123476957
1	123476957	141476957
1	141672545	141722545
1	141909284	141959284
1	142134339	142184339
1	142386048	142436048
1	142562525	142612525
1	142807140	142857140
1	142935838	142985838
1	143113101	143163101
1	143333770	143383770
1	143422081	143472081
1	143472081	143522081
1	144544475	144594475
1	144876007	144926007
1	146492662	146542662
1	146727982	146777982
1	146950771	147000771
1	147221084	147271084
1	147726269	147776269
1	204189330	204239330
1	204498844	204548844
1	221814469	221864469
1	233258834	233308834
1	246974833	247024833
1	247199719	247249719
2	1254071	1255071
2	3507187	3557187
2	4983316	5083316
2	16171403	16221403
2	21012571	21037571
2	89411551	89561551
2	89958830	90958830
2	91689898	94689898
2	97284347	97296847
2	109470304	109612304
2	110348650	110498650
2	110858548	111008548
2	149398828	149498828
2	233711985	233731985
2	239420971	239453971
2	239466915	239496915
2	240449069	240474069
2	242751149	242951149
3	0	35000
3	66115833	66375833
3	90587544	93487544
3	93487544	94987544
3	195517797	195537797
3	196837663	196864663
3	199446827	199501827
4	1413146	1464146
4	3883456	3963456
4	8783740	8933740
4	31421166	31492166
4	32468752	32527752
4	39972791	39992791
4	49033698	49183698
4	49354874	52354874
4	59429326	59479326
4	69275441	69375441
4	71536854	71711854
4	75641303	75671303
4	167795054	167825054
4	191263063	191273063
5	0	63000
5	46441398	49441398
5	91671884	91711884
5	97589886	97612886
5	138812257	138817257
5	155118920	155123020
5	180837866	180857866
6	0	5000
6	9199728	9249728
6	58195618	58245618
6	58888125	58938125
6	58938125	61938125
6	62186548	62236548
6	95737264	95937264
6	157582649	157632649
6	167766922	167784922
6	170021897	170171897
6	170896992	170899992
7	0	34000
7	327567	477567
7	48167949	48207949
7	50338125	50378125
7	56955418	57005418
7	58058273	61058273
7	61314455	61364455
7	61554592	61604592
7	74353660	74603660
7	139029917	139054917
7	153901567	154001567
7	154737899	154817899
8	7462059	7562059
8	12099352	12199352
8	21664232	21681632
8	29732668	29798768
8	43958052	46958052
8	48249201	48309201
8	86069241	86193341
8	86763703	86851003
8	144006276	144106276
8	145396296	145403396
9	39653686	39703686
9	39964796	40014796
9	40223029	40273029
9	40415834	40465834
9	40930341	40980341
9	41133214	41183214
9	41355793	41405793
9	42603951	42653951
9	43203694	43253694
9	43886565	43936565
9	44616642	44666642
9	44848289	44898289
9	45190199	45240199
9	45705517	45755517
9	46106426	46156426
9	46351035	46401035
9	46899953	46949953
9	47107499	50107499
9	50107499	65107499
9	65107499	65157499
9	65157499	65207499
9	65658180	65708180
9	65932035	65982035
9	66144476	66194476
9	66354015	66404015
9	66603163	66653163
9	66847654	66897654
9	67056116	67106116
9	67577818	67627818
9	68004001	68054001
9	68228766	68278766
9	68568205	68618205
9	69300362	69350362
9	69508549	69558549
9	69746355	69796355
9	69975288	70025288
9	91533236	91583236
9	91668616	91718616
9	132112881	132162881
9	132162881	132212881
9	136031014	136231014
9	138306818	138336818
10	0	50000
10	5627110	5677110
10	18014681	18064681
10	38858841	38908841
10	39194941	39244941
10	39244941	41624941
10	41624941	41674941
10	41866693	41916693
10	45746970	45896970
10	46849175	46999175
10	47262482	47412482
10	47575713	47725713
10	48715542	48865542
10	50807416	50857416
10	51068851	51118851
10	81231464	81241464
10	125859462	125909462
10	128606059	128656059
10	133271394	133281394
10	133527517	133577517
11	0	50000
11	1152759	1169335
11	50740429	50947429
11	51450781	54450781
11	68846377	68848982
11	69437111	69454899
11	87366026	87378026
11	95927232	95942794
12	0	16000
12	7059293	7132293
12	34747961	36142961
12	74791940	75041940
12	107857874	107914874
12	121006020	121156020
12	131272065	131317065
12	132289534	132349534
13	0	16000000
13	16000000	17868000
13	17868000	17918000
13	85658325	85708325
13	111151995	111551995
13	113373994	113473994
13	113658050	113758050
13	114127980	114142980
14	0	15070000
14	15070000	18070000
14	106360585	106368585
15	0	15260000
15	15260000	18260000
15	19663478	19763478
15	20097557	20197557
15	21066294	21116294
15	24687593	24731593
15	25169606	25270606
15	26378746	26478746
15	26896735	26996735
15	80616700	80676700
15	82775477	82835477
15	96345672	96367672
16	8576922	8594422
16	33930651	34030651
16	35143302	36943302
16	36943302	44943302
16	86946884	86966884
16	88822254	88827254
17	296854	343376
17	21507209	21607209
17	22187133	22287133
17	31699961	31799961
17	33429230	33529230
17	38601721	38701721
17	63495323	63585323
17	75058056	75211056
17	77314182	77379182
17	78654742	78774742
18	15400898	16764896
18	50313134	50360134
18	70434333	70462333
18	73850808	73872808
19	0	11000
19	7297004	7302004
19	8593198	8598198
19	24423622	26923622
19	26923622	29923622
19	29923622	32423622
19	63806651	63811651
20	0	8000
20	26267569	28033230
20	28267569	29267569
20	34360499	34380499
20	60524832	60551882
20	60623814	60733814
21	0	9719767
21	10210000	10260000
21	10260000	13260000
21	41877429	41878628
21	43505733	43507092
22	0	11330000
22	11330000	14330000
22	14330000	14430000
22	15077850	15227850
22	18889431	18939431
22	42215733	42227733
22	43057958	43107958
22	47356150	47366250
22	48750436	48767136
22	49087576	49089176
22	49107103	49126803
22	49591432	49691432
23	34821	84821
23	171384	201384
23	967557	1017557
23	1054113	1104113
23	1184234	1274234
23	2028238	2128238
23	37008177	37033177
23	49129941	49179941
23	49860913	50040913
23	52412639	52462639
23	58598737	61598737
23	76570348	76590348
23	113403924	113473924
23	115596318	115616318
23	143335010	143365010
23	148792720	148832720
24	34821	84821
24	171384	201384
24	967557	1017557
24	1054113	1104113
24	1184234	1274234
24	2028238	2128238
24	8974955	9024955
24	9301322	9901322
24	10714553	11214553
24	11253954	11653954
24	12208578	12308578
24	22310816	22360816
24	27228749	57228749
24	57327044	57377044
